*-------------------------------------------------------------------------------------------
* system regs
*-------------------------------------------------------------------------------------------
* RegName           		RegAddr       RegMask      R     W     Description
*-------------------------------------------------------------------------------------------
vfat2_cms_j8_ipreampout         40010904      ffffffff     1     1
vfat2_cms_j8_ishaper            40010905      ffffffff     1     1
vfat2_cms_j8_ishaperfeed        40010906      ffffffff     1     1
vfat2_cms_j8_icomp              40010907      ffffffff     1     1
vfat2_cms_j8_chipid0            40010908      ffffffff     1     0
vfat2_cms_j8_chipid1            40010909      ffffffff     1     0
vfat2_cms_j8_upsetreg           4001090A      ffffffff     1     0
vfat2_cms_j8_hitcounter0        4001090B      ffffffff     1     0
vfat2_cms_j8_hitcounter1        4001090C      ffffffff     1     0
vfat2_cms_j8_hitcounter2        4001090D      ffffffff     1     0
vfat2_cms_j8_extregpointer      4001090E      ffffffff     1     1
vfat2_cms_j8_extregdata         4001090F      ffffffff     1     1
vfat2_cms_j8_lat                40010910      ffffffff     1     1
vfat2_cms_j8_channel1           40010911      ffffffff     1     1
vfat2_cms_j8_channel2           40010912      ffffffff     1     1
vfat2_cms_j8_channel10          40010920      ffffffff     1     1
vfat2_cms_j8_vcal               40010991      ffffffff     1     1
vfat2_cms_j8_vthreshold1        40010992      ffffffff     1     1
vfat2_cms_j8_vthreshold2        40010993      ffffffff     1     1
vfat2_cms_j8_calphase           40010994      ffffffff     1     1
vfat2_cms_j8_ctrl2              40010995      ffffffff     1     1
vfat2_cms_j8_ctrl3              40010996      ffffffff     1     1
vfat2_cms_j8_spare              40010997      ffffffff     1     1

* cms J26
vfat2_cms_j26_ctrl0             40010b00      ffffffff     1     1
vfat2_cms_j26_ctrl1             40010b01      ffffffff     1     1
vfat2_cms_j26_ipreampin         40010b02      ffffffff     1     1
vfat2_cms_j26_ipreampfeed       40010b03      ffffffff     1     1
vfat2_cms_j26_ipreampout        40010b04      ffffffff     1     1
vfat2_cms_j26_ishaper           40010b05      ffffffff     1     1
vfat2_cms_j26_ishaperfeed       40010b06      ffffffff     1     1
vfat2_cms_j26_icomp             40010b07      ffffffff     1     1
vfat2_cms_j26_chipid0           40010b08      ffffffff     1     0
vfat2_cms_j26_chipid1           40010b09      ffffffff     1     0
vfat2_cms_j26_upsetreg          40010b0A      ffffffff     1     0
vfat2_cms_j26_hitcounter0       40010b0B      ffffffff     1     0
vfat2_cms_j26_hitcounter1       40010b0C      ffffffff     1     0
vfat2_cms_j26_hitcounter2       40010b0D      ffffffff     1     0
vfat2_cms_j26_extregpointer     40010b0E      ffffffff     1     1
vfat2_cms_j26_extregdata        40010b0F      ffffffff     1     1
vfat2_cms_j26_lat               40010b10      ffffffff     1     1
vfat2_cms_j26_channel1          40010b11      ffffffff     1     1
vfat2_cms_j26_channel2          40010b12      ffffffff     1     1
vfat2_cms_j26_channel10         40010b20      ffffffff     1     1
vfat2_cms_j26_vcal              40010b91      ffffffff     1     1
vfat2_cms_j26_vthreshold1       40010b92      ffffffff     1     1
vfat2_cms_j26_vthreshold2       40010b93      ffffffff     1     1
vfat2_cms_j26_calphase          40010b94      ffffffff     1     1
vfat2_cms_j26_ctrl2             40010b95      ffffffff     1     1
vfat2_cms_j26_ctrl3             40010b96      ffffffff     1     1
